[3;16]	[39]	218
[12;16]	[48]	217
[2]	[35]	211
[11;16]	[19]	208
[11;16]	[49]	208
[32]	[35]	200
[5;16]	[3]	200
[11;16]	[5]	198
[2;16]	[43]	196
[17]	[37]	192
[10;16]	[37]	191
[10]	[3]	190
[1]	[20]	189
[3;16]	[24]	189
[12;16]	[22]	188
[4]	[34]	186
[11;16]	[2]	186
[5;16]	[39]	185
[3]	[18]	179
[12;16]	[41]	178
[32]	[38]	176
[11]	[17]	174
[13]	[19]	174
[4]	[46]	174
[5]	[49]	173
[3;16]	[19]	172
[2]	[44]	170
[4]	[42]	169
[13]	[24]	169
[1;16]	[18]	168
[5]	[5]	165
[11;16]	[10]	165
[41]	[6]	161
[11]	[41]	160
[32]	[7]	158
[5;16]	[10]	158
[10]	[2]	157
[36]	[7]	155
[10;16]	[32]	154
[13]	[49]	154
[10;16]	[1]	153
[2;16]	[40]	153
[41]	[11]	151
[4]	[3]	150
[13]	[39]	150
[41]	[23]	148
[4]	[43]	148
[3;16]	[49]	148
[1]	[4]	147
[1;16]	[20]	147
[11;16]	[24]	145
[4]	[24]	141
[10]	[10]	138
[2;16]	[39]	138
[10]	[20]	134
[2;16]	[49]	134
[5;16]	[19]	133
[17]	[1]	132
[13]	[10]	132
[1]	[23]	132
[11]	[42]	130
[2;16]	[3]	128
[10;16]	[45]	127
[10;16]	[22]	126
[12;16]	[17]	120
[10;16]	[48]	118
[3;16]	[35]	118
[1;16]	[38]	117
[4]	[39]	112
[5;16]	[24]	108
[41]	[47]	107
[5;16]	[35]	106
[2;16]	[1]	105
[2]	[18]	105
[2;16]	[24]	104
[1;16]	[23]	103
[5;16]	[49]	103
[12;16]	[3]	102
[2;16]	[19]	101
[17]	[45]	101
[17]	[48]	101
[1]	[47]	100
[11]	[39]	100
[10]	[5]	98
[11]	[46]	98
[13]	[2]	96
[12;16]	[36]	95
[4]	[19]	94
[12;16]	[46]	94
[12;16]	[34]	93
[11]	[40]	93
[1]	[6]	92
[32]	[18]	90
[10]	[38]	87
[10]	[18]	86
[11;16]	[35]	83
[17]	[32]	82
[10;16]	[17]	82
[1]	[7]	81
[12;16]	[42]	81
[3]	[47]	81
[11;16]	[44]	79
[13]	[35]	79
[2;16]	[35]	76
[41]	[12]	76
[4]	[49]	73
[4]	[35]	71
[3;16]	[44]	68
[32]	[20]	67
[4]	[1]	67
[11]	[24]	67
[12;16]	[10]	66
[3]	[38]	65
[1;16]	[47]	64
[12;16]	[2]	63
[13]	[44]	63
[2]	[38]	62
[17]	[34]	61
[17]	[40]	61
[17]	[22]	61
[10;16]	[34]	59
[10]	[23]	59
[3]	[20]	58
[36]	[20]	58
[10;16]	[41]	57
[2]	[23]	57
[11]	[19]	57
[12;16]	[39]	57
[41]	[13]	56
[1]	[13]	54
[10;16]	[3]	54
[10;16]	[46]	53
[11]	[22]	53
[2;16]	[18]	51
[2]	[4]	51
[1]	[11]	51
[4;16]	[22]	50
[4;16]	[48]	50
[12]	[48]	50
[17]	[5]	49
[1]	[12]	48
[12;16]	[5]	48
[17]	[10]	48
[17]	[41]	47
[3]	[23]	47
[3]	[7]	46
[12]	[37]	46
[10;16]	[2]	46
[11]	[49]	46
[17]	[17]	44
[17]	[2]	44
[5;16]	[44]	44
[11;16]	[23]	44
[3]	[4]	43
[11]	[44]	43
[10;16]	[36]	42
[12;16]	[40]	42
[4]	[44]	42
[12;16]	[19]	42
[10]	[7]	41
[32]	[4]	40
[11]	[10]	40
[17]	[46]	39
[11]	[35]	39
[12]	[32]	38
[12]	[17]	38
[10;16]	[40]	37
[10;16]	[42]	37
[2]	[7]	36
[17]	[3]	36
[2]	[47]	35
[2;16]	[44]	35
[32]	[6]	34
[3;16]	[4]	34
[2;16]	[38]	34
[11;16]	[20]	34
[32]	[23]	33
[10;16]	[5]	33
[10;16]	[19]	33
[11;16]	[43]	33
[4;16]	[5]	33
[4;16]	[32]	32
[5]	[7]	31
[5]	[18]	31
[17]	[42]	31
[4;16]	[3]	31
[12;16]	[49]	31
[36]	[18]	31
[2]	[20]	31
[12;16]	[24]	31
[10;16]	[24]	31
[4;16]	[1]	30
[4;16]	[45]	30
[5;16]	[4]	30
[32]	[47]	30
[36]	[44]	30
[10]	[47]	28
[3]	[6]	28
[27]	[3]	28
[17]	[24]	27
[2;16]	[10]	27
[13]	[6]	27
[11]	[1]	27
[1;16]	[7]	26
[32]	[11]	26
[2;16]	[47]	25
[2;16]	[23]	25
[5]	[38]	25
[27]	[1]	25
[17]	[19]	24
[4;16]	[37]	24
[1;16]	[6]	24
[2;16]	[5]	23
[12;16]	[44]	22
[10;16]	[39]	22
[1;16]	[4]	22
[6;16]	[1]	22
[17]	[39]	21
[12;16]	[35]	21
[17]	[35]	21
[17]	[7]	21
[10;16]	[35]	21
[11;16]	[7]	21
[17]	[36]	20
