aWavA	aWavA	ind.			382
rAkRasa	rAkRasa	iic.			381
anena	ixam	m. sg. i.			379
rAjFaH	rAjan	m. sg. g.			378
manwra	manwra	iic.			378
Siva	Siva	iic.			377
arjunaH	arjuna	m. sg. nom.			377
vixyawe	vix	pr. ps. sg. 3			376
yAwi	yA	pr. [2] ac. sg. 3			376
vexa	vix	pft. ac. sg. 3			375
vAyuH	vAyu	m. sg. nom.			374
wejAH	wejas	m. sg. nom.			374
vane	vana	n. sg. loc.			374
icCAmi	iR	pr. [6] ac. sg. 1			373
kva	kva	ind.			369
wawwva	wawwva	iic.			368
piwq	piwq	iic.			367
wayA	wax	f. sg. i.			367
kula	kula	iic.			365
xevi	xevI	f. sg. voc.			363
rUpam	rUpa	n. sg. acc.			363
xaxarSa	xqS	pft. ac. sg. 3			363
wapaH	wapas	iic.			362
yajFa	yajFa	iic.			361
wasmin	wax	n. sg. loc.			360
XqwarARtraH	XqwarARtra	m. sg. nom.			360
cawuH	cawur	iic.			359
kqwaH	kqwa	m. sg. nom.	kq	pp.	357
yukwaH	yukwa	m. sg. nom.	yuj	pp.	355
viRNuH	viRNu	m. sg. nom.			354
bAhuH	bAhu	m. sg. nom.			354
sapwa	sapwan	iic.			353
sarvawaH	sarvawas	ind.			353
snAwvA	snA	abs.			352
rAjAnam	rAjan	m. sg. acc.			352
parASaraH	parASara	m. sg. nom.			352
paFca	paFcan	iic.			351
wasya	wax	n. sg. g.			351
sUrya	sUrya	iic.			351
nu	nu	ind.			351
paScAw	paScAw	ind.			349
gawiH	gawi	f. sg. nom.			349
jFAwvA	jFA	abs.			348
pAxa	pAxa	iic.			345
nAga	nAga	iic.			344
karNaH	karNa	m. sg. nom.			344
pawiH	pawi	m. sg. nom.			344
pANdavAH	pANdava	m. pl. nom.			343
mahaw	mahaw	n. sg. nom.			342
raWaH	raWa	m. sg. nom.			339
BIma	BIma	iic.			337
sarvaSaH	sarvaSas	ind.			336
buxXiH	buxXi	f. sg. nom.			336
puwrAH	puwra	m. pl. nom.			335
prANa	prANa	iic.			334
kruxXaH	kruxXa	m. sg. nom.	kruX	pp.	334
kuruwe	kq	pr. [8] md. sg. 3			333
xqSyawe	xqS	pr. ps. sg. 3			333
canxra	canxra	iic.			333
xivya	xivya	iic.			332
kila	kila	ind.			332
mayi	asmax	* sg. loc.			332
wejasA	wejas	n. sg. i.			331
SAswra	SAswra	iic.			327
wrayaH	wri	m. pl. nom.			326
wayoH	wax	m. du. g.			325
puNya	puNya	iic.			325
vanam	vana	n. sg. acc.			325
gacCawi	gam	pr. [1] ac. sg. 3			324
jAwaH	jAwa	m. sg. nom.	jan	pp.	324
samaH	sama	m. sg. nom.			323
puRpa	puRpa	iic.			323
SreRTa	SreRTa	m. sg. voc.			323
yuXi	yuX	f. sg. loc.			323
Buvi	BU	f. sg. loc.			322
kqRNa	kqRNa	iic.			322
xvi	xvi	iic.			322
param	para	n. sg. acc.			322
jFAnam	jFAna	n. sg. nom.			321
jala	jala	iic.			320
pawe	pawi	m. sg. voc.			319
