kAlaH	kAla	m. sg. nom.			286
mahaw	mahaw	n. sg. nom.			285
xevi	xevI	f. sg. voc.			281
kila	kila	ind.			280
kuruwe	kq	pr. [8] md. sg. 3			278
wayoH	wax	m. du. g.			278
prAha	prAh	pft. ac. sg. 3			277
rasaH	rasa	m. sg. nom.			275
prajApawiH	prajApawi	m. sg. nom.			275
sarvawaH	sarvawas	ind.			274
wasyAH	wax	f. sg. g.			274
kruxXaH	kruxXa	m. sg. nom.	kruX	pp.	273
balam	bala	n. sg. nom.			272
arWaH	arWa	m. sg. nom.			271
anyawra	anyawra	ind.			270
xawwvA	xA	abs.			270
sarvaSaH	sarvaSas	ind.			270
viRNuH	viRNu	m. sg. nom.			265
weRu	wax	m. pl. loc.			264
brAhmaNaH	brAhmaNa	m. sg. nom.			264
karwum	kq	inf.			263
xqSyawe	xqS	pr. ps. sg. 3			263
gacCawi	gam	pr. [1] ac. sg. 3			260
cakre	kq	pft. md. sg. 3			260
param	para	n. sg. acc.			259
paSya	paS	imp. [4] ac. sg. 2			256
piwA	piwq	m. sg. nom.			255
kuwaH	kuwas	ind.			254
imAm	ixam	f. sg. acc.			254
ekam	eka	m. sg. acc.			252
jAwaH	jAwa	m. sg. nom.	jan	pp.	252
wvA	yuRmax	* sg. acc.			251
rAjAnam	rAjan	m. sg. acc.			251
sarvawra	sarvawra	ind.			250
rUpam	rUpa	n. sg. nom.			250
yuXi	yuX	f. sg. loc.			249
uBO	uBa	m. du. nom.			248
karNaH	karNa	m. sg. nom.			248
smqwam	smqwa	n. sg. nom.	smq	pp.	247
nu	nu	ind.			247
kasya	kim	m. sg. g.			246
anwaH	anwar	ind.			245
kAraNam	kAraNa	n. sg. nom.			244
anyaWA	anyaWA	ind.			243
wapasA	wapas	n. sg. i.			243
yA	yax	f. sg. nom.			242
wasmAw	wax	m. sg. abl.			241
sAkRAw	sAkRAw	ind.			241
viSAm	viS	f. pl. g.			241
marxayew	mqx	ca. opt. ac. sg. 3			240
yuXiRTiraH	yuXiRTira	m. sg. nom.			240
svAhA	svAhA	ind.			239
paraH	para	m. sg. nom.			239
iwyAxi	iwyAxi	n. sg. nom.			238
piwuH	piwq	m. sg. g.			237
muniH	muni	m. sg. nom.			235
yayO	yA	pft. ac. sg. 3			235
kArayew	kq	ca. opt. ac. sg. 3			234
xuryoXanaH	xuryoXana	m. sg. nom.			234
wapaH	wapas	n. sg. nom.			233
cakAra	kq	pft. ac. sg. 3			233
waxvaw	waxvaw	ind.			232
paramam	parama	n. sg. nom.			231
pawe	pawi	m. sg. voc.			231
BUwvA	BU	abs.			230
laBawe	laB	pr. [1] md. sg. 3			230
sahasraSaH	sahasraSas	ind.			230
asmAkam	asmax	* pl. g.			230
kAlena	kAla	m. sg. i.			229
snAwvA	snA	abs.			229
balam	bala	n. sg. acc.			228
suKam	suKa	n. sg. acc.			226
eRAm	ixam	m. pl. g.			226
mahAwmanA	mahAwman	m. sg. i.			226
Kalu	Kalu	ind.			225
arhawi	arh	pr. [1] ac. sg. 3			225
wvayi	yuRmax	* sg. loc.			225
saMyuge	saMyuga	n. sg. loc.			225
SrImAn	SrImaw	m. sg. nom.			224
hariH	hari	m. sg. nom.			224
viRNoH	viRNu	m. sg. g.			224
xaxO	xA	pft. ac. sg. 3			224
Apnowi	Ap	pr. [5] ac. sg. 3			223
vIraH	vIra	m. sg. nom.			223
mayi	asmax	* sg. loc.			223
uwwamam	uwwama	n. sg. nom.			222
uwwamam	uwwama	n. sg. acc.			222
wiRTawi	sWA	pr. [1] ac. sg. 3			222
kqwaH	kqwa	m. sg. nom.	kq	pp.	222
XanvanwariH	Xanvanwari	m. sg. nom.			221
xeva	xeva	m. sg. voc.			220
aWavA	aWavA	ind.			219
arjunaH	arjuna	m. sg. nom.			219
raWam	raWa	m. sg. acc.			219
yena	yax	n. sg. i.			218
wayA	wax	f. sg. i.			218
vane	vana	n. sg. loc.			217
param	para	m. sg. acc.			214
kaWiwam	kaWiwa	n. sg. nom.	kaW	pp.	213
AsWAya	AsWA	abs.			213
Buvi	BU	f. sg. loc.			213
AsAxya	Asvax	ca. abs.			213
paSyAmi	paS	pr. [4] ac. sg. 1			213
vinA	vinA	ind.			212
kqRNaH	kqRNa	m. sg. nom.			212
manasA	manas	n. sg. i.			212
BImaH	BIma	m. sg. nom.			212
pANdavAnAm	pANdava	m. pl. g.			212
vixuH	vix	pft. ac. pl. 3			211
jFAwvA	jFA	abs.			210
vaH	yuRmax	* pl. g.			210
svargam	svarga	m. sg. acc.			209
pqWivIm	pqWivI	f. sg. acc.			209
xroNaH	xroNa	m. sg. nom.			209
paSyawi	paS	pr. [4] ac. sg. 3			208
muhuH	muhur	ind.			208
pacew	pac	opt. [1] ac. sg. 3			208
sarvEH	sarva	m. pl. i.			207
jFAnam	jFAna	n. sg. nom.			206
BIRmaH	BIRma	m. sg. nom.			206
prokwam	prokwa	n. sg. nom.	pravac	pp.	205
pUjayew	pUj	opt. [10] ac. sg. 3			205
xevAn	xeva	m. pl. acc.			205
vAsuxevaH	vAsuxeva	m. sg. nom.			205
pArWaH	pArWa	m. sg. nom.			205
pANdavAH	pANdava	m. pl. nom.			204
pArWa	pArWa	m. sg. voc.			204
hanwi	han	pr. [2] ac. sg. 3			203
yaWAvaw	yaWAvaw	ind.			203
asya	ixam	n. sg. g.			202
buxXiH	buxXi	f. sg. nom.			202
BImasenaH	BImasena	m. sg. nom.			202
guruH	guru	m. sg. nom.			201
gacCew	gam	opt. [1] ac. sg. 3			200
kuru	kq	imp. [8] ac. sg. 2			200
manye	man	pr. [4] md. sg. 1			200
sahiwaH	sahiwa	m. sg. nom.			199
wasyAm	wax	f. sg. loc.			199
xivyam	xivya	n. sg. nom.			199
vixXi	vix	imp. [2] ac. sg. 2			199
yasmAw	yax	n. sg. abl.			198
brahmaNaH	brahman	m. sg. g.			198
paxam	paxa	n. sg. acc.			198
hawaH	hawa	m. sg. nom.	han	pp.	198
lokAn	loka	m. pl. acc.			197
vakwum	vac	inf.			196
Sruwam	Sruwa	n. sg. nom.	Sru	pp.	196
karmaNA	karman	n. sg. i.			195
AgawaH	Agawa	m. sg. nom.	Agam	pp.	195
xraRtum	xqS	inf.			195
Bayam	Baya	n. sg. nom.			194
wAni	wax	n. pl. acc.			194
suKam	suKa	n. sg. nom.			194
saxyaH	saxyas	ind.			193
uwa	uwa	ind.			193
wIrWe	wIrWa	n. sg. loc.			193
paramam	parama	n. sg. acc.			191
inxraH	inxra	m. sg. nom.			190
AwmA	Awman	m. sg. nom.			190
praBo	praBu	m. sg. voc.			189
SanEH	SanEs	ind.			189
sawyam	sawya	n. sg. acc.			189
kAlam	kAla	m. sg. acc.			189
pANdavaH	pANdava	m. sg. nom.			189
yuXiRTira	yuXiRTira	m. sg. voc.			189
SuciH	Suci	m. sg. nom.			188
rUpam	rUpa	n. sg. acc.			188
vIryavAn	vIryavaw	m. sg. nom.			188
XanaFjayaH	XanaFjaya	m. sg. nom.			188
lokeRu	loka	m. pl. loc.			188
varwawe	vqw	pr. [1] md. sg. 3			186
wriBiH	wri	m. pl. i.			186
wrayaH	wri	m. pl. nom.			186
anaGa	anaGa	m. sg. voc.			186
BUmO	BUmi	f. sg. loc.			185
anyaw	anya	n. sg. acc.			185
karwavyam	karwavya	n. sg. nom.	kq	pfp. [3]	184
