aMSena	aMSa	m. sg. i.			121
raWAH	raWa	m. pl. nom.			121
lakRaNam	lakRaNa	n. sg. nom.			120
wila	wila	iic.			120
vIryaH	vIrya	m. sg. nom.			120
gqha	gqha	iic.			120
narmaxA	narmaxA	iic.			120
xAha	xAha	iic.			119
maxa	maxa	iic.			119
xina	xina	iic.			119
rUpam	rUpa	n. sg. nom.			119
pANdava	pANdava	iic.			119
gaH	ga	m. sg. nom.			118
Sukla	Sukla	iic.			118
BUmi	BUmi	iic.			118
paraH	para	m. sg. nom.			118
SleRma	SleRman	iic.			117
loke	loka	m. sg. loc.			117
vqkRa	vqkRa	iic.			116
aRta	aRtan	iic.			116
kAmaH	kAma	m. sg. nom.			116
vqRNi	vqRNi	iic.			116
uwwama	uwwama	iic.			115
mAsa	mAsa	iic.			115
yaSAH	yaSas	m. sg. nom.			115
kara	kara	iic.			114
xam	xa	n. sg. nom.			114
vaswra	vaswra	iic.			113
wapAH	wapas	m. sg. nom.			113
vyAGra	vyAGra	m. sg. voc.			113
kRaye	kRaya	m. sg. loc.			112
moha	moha	iic.			112
paSu	paSu	iic.			112
arWaH	arWa	m. sg. nom.			112
prIwi	prIwi	iic.			111
kRIra	kRIra	iic.			111
gaNEH	gaNa	m. pl. i.			111
uwwamaH	uwwama	m. sg. nom.			111
Gora	Gora	iic.			111
vixaH	vix	m. pl. nom.			111
nASanam	nASana	n. sg. nom.			110
pura	pura	iic.			110
graha	graha	iic.			110
Sukra	Sukra	iic.			110
rUpeNa	rUpa	n. sg. i.			110
xevawA	xevawA	iic.			110
meGa	meGa	iic.			110
jaya	jaya	iic.			110
SArxUla	SArxUla	m. sg. voc.			110
xuryoXana	xuryoXana	iic.			110
mala	mala	iic.			109
uwwara	uwwara	iic.			109
pawra	pawwra	iic.			108
amla	amla	iic.			108
mAwram	mAwra	n. sg. acc.			108
svarNa	svarNa	iic.			108
sUwa	sUwa	iic.			108
bAla	bAla	iic.			107
vAyu	vAyu	iic.			107
ambara	ambara	iic.			106
snAna	snAna	iic.			106
yakRa	yakRa	iic.			106
lifga	lifga	iic.			106
XqRtaxyumnaH	XqRtaxyumna	m. sg. nom.			106
agra	agra	iic.			105
inxu	inxu	iic.			105
manxa	manxa	iic.			105
paxa	paxa	iic.			105
xyuwiH	xyuwi	m. sg. nom.			105
BqwAm	Bqw	m. pl. g.			104
AcAra	AcAra	iic.			104
anware	anwara	n. sg. loc.			104
sawwamaH	sawwama	m. sg. nom.			104
aneka	aneka	iic.			103
kRayam	kRaya	m. sg. acc.			103
Awreya	Awreya	iic.			103
ISvara	ISvara	iic.			103
wrayam	wraya	n. sg. acc.			102
xarSana	xarSana	iic.			102
prasAxAw	prasAxa	m. sg. abl.			102
Ananxa	Ananxa	iic.			101
rAga	rAga	iic.			101
haram	hara	n. sg. nom.			101
nIla	nIla	iic.			101
ananwa	ananwa	iic.			101
Sruwi	Sruwi	iic.			101
XAwu	XAwu	iic.			100
uRNa	uRNa	iic.			100
SvAsa	SvAsa	iic.			100
paraspara	paraspara	iic.			100
sparSa	sparSa	iic.			100
ari	ari	iic.			100
miwra	miwra	iic.			100
vixAm	vix	m. pl. g.			100
wIkRNa	wIkRNa	iic.			99
ugra	ugra	iic.			99
AwmakaH	Awmaka	m. sg. nom.			99
mAna	mAna	iic.			99
krama	krama	iic.			99
praWama	praWama	iic.			99
aBra	aBra	iic.			98
mAnasaH	mAnasa	m. sg. nom.			98
AxyEH	Axya	m. pl. i.			98
Sawam	Sawa	n. sg. acc.			98
kAsa	kAsa	iic.			98
amara	amara	iic.			98
balam	bala	m. sg. acc.			98
sAgara	sAgara	iic.			98
kRawriya	kRawriya	iic.			98
sWAna	sWAna	iic.			97
jAwi	jAwi	iic.			97
kAraNam	kAraNa	n. sg. nom.			96
vAram	vAra	m. sg. acc.			96
praxaH	praxa	m. sg. nom.			96
ambu	ambu	iic.			96
Bava	Bava	iic.			96
Axi	Axi	n. sg. nom.			95
bAho	bAhu	m. sg. voc.			95
haraH	hara	m. sg. nom.			94
Binna	Binna	iic.	Bix	pp.	94
bIja	bIja	iic.			94
arWI	arWin	m. sg. nom.			94
axBuwa	axBuwa	iic.			94
locanaH	locana	m. sg. nom.			94
rAwram	rAwra	m. sg. acc.			94
cira	cira	iic.			93
prakqwi	prakqwi	iic.			93
karmaNi	karman	n. sg. loc.			93
arjuna	arjuna	iic.			93
prajA	prajA	iic.			93
wrElokya	wrElokya	iic.			93
AxIn	Axi	m. pl. acc.			92
SUxra	SUxra	iic.			92
Basma	Basman	iic.			92
hewoH	hewu	m. sg. abl.			92
pawiH	pawi	m. sg. nom.			92
BIRma	BIRma	iic.			92
vAma	vAma	iic.			91
rajaH	rajas	iic.			91
samBavaH	samBava	m. sg. nom.			91
gulma	gulma	iic.			91
Sawam	Sawa	n. sg. nom.			91
piNda	piNda	iic.			91
SApa	SApa	iic.			91
AxyAH	Axya	m. pl. nom.			91
SawEH	Sawa	n. pl. i.			91
inxrasya	inxra	m. sg. g.			91
mAwram	mAwra	n. sg. nom.			90
anyonya	anyonya	iic.			90
wAra	wAra	iic.			90
mAwq	mAwq	iic.			90
uwwama	uwwama	m. sg. voc.			90
newra	newra	iic.			89
RodaSa	RodaSan	iic.			89
xvayam	xvaya	n. sg. nom.			89
balam	bala	n. sg. acc.			89
haswi	haswin	iic.			89
pArWiva	pArWiva	iic.			89
qRaBaH	qRaBa	m. sg. nom.			89
mune	muni	m. sg. voc.			89
aXipa	aXipa	m. sg. voc.			89
kunwI	kunwI	iic.			89
smqwi	smqwi	iic.			88
yukwaH	yukwa	m. sg. nom.	yuj	pp.	88
mawsya	mawsya	iic.			88
vigawa	vigawa	iic.	vigam	pp.	88
Asana	Asana	iic.			88
Awmakam	Awmaka	n. sg. nom.			88
xakRiNa	xakRiNa	iic.			88
mahI	mahI	iic.			88
iRvAsaH	iRvAsa	m. sg. nom.			88
AKyaH	AKyA	m. sg. nom.			87
wEla	wEla	iic.			87
mqxu	mqxu	iic.			87
lakRaNa	lakRaNa	iic.			87
pAna	pAna	iic.			87
gafgA	gafgA	iic.			87
sanniBam	sanniBa	n. sg. nom.			87
XanuH	Xanus	iic.			87
mayam	maya	n. sg. nom.			86
afgaH	afga	m. sg. nom.			86
jam	ja	m. sg. acc.			86
kanaka	kanaka	iic.			86
Cinna	Cinna	iic.	Cix	pp.	86
ABaraNa	ABaraNa	iic.			86
rUpam	rUpa	n. sg. acc.			86
vahni	vahni	iic.			85
manAH	manas	m. sg. nom.			85
pakRa	pakRa	iic.			85
parAkramaH	parAkrama	m. sg. nom.			85
kanyA	kanyA	iic.			85
aXarma	aXarma	iic.			85
